Categoria,Canal
[cite_start]Cultura e Variedades,Brozo [cite: 55]
[cite_start]Cultura e Variedades,TV Pampa [cite: 56]
[cite_start]Cultura e Variedades,SBT [cite: 57]
[cite_start]Cultura e Variedades,RECORD [cite: 65]
[cite_start]Cultura e Variedades,BAND [cite: 66]
[cite_start]Cultura e Variedades,TRAVEL [cite: 59]
[cite_start]Cultura e Variedades,TV BLITS [cite: 60]
[cite_start]Cultura e Variedades,Planalto Norte [cite: 72]
[cite_start]Cultura e Variedades,GAZETA [cite: 73]
[cite_start]Cultura e Variedades,VRT [cite: 74]
[cite_start]Cultura e Variedades,DOCS [cite: 75]
[cite_start]Cultura e Variedades,Unique [cite: 76]
[cite_start]Cultura e Variedades,Artel [cite: 77]
[cite_start]Cultura e Variedades,Trace Brazuca [cite: 93]
[cite_start]Cultura e Variedades,TV História [cite: 116]
[cite_start]Cultura e Variedades,Music Box Brazil [cite: 124]
[cite_start]Públicos,TV Justiça [cite: 10]
[cite_start]Públicos,TV Brasil [cite: 5]
[cite_start]Públicos,RESERVADO COMUNITÁRIO [cite: 6]
[cite_start]Públicos,TV Senado [cite: 8]
[cite_start]Públicos,TV Câmara [cite: 15]
[cite_start]Notícias,RedeTV [cite: 30]
[cite_start]Notícias,New [cite: 36]
[cite_start]Notícias,TVD News [cite: 31]
[cite_start]Notícias,Euro News [cite: 32]
[cite_start]Notícias,Band News [cite: 33]
[cite_start]Notícias,RN [cite: 34]
[cite_start]Notícias,CNN Brasil [cite: 34, 41]
[cite_start]Notícias,Telesur [cite: 44]
[cite_start]Notícias,Exitosa [cite: 42]
[cite_start]Filmes e Séries,Mider [cite: 46]
[cite_start]Filmes e Séries,LMC [cite: 48]
[cite_start]Filmes e Séries,Retro [cite: 179]
[cite_start]Filmes e Séries,Ultra [cite: 180]
[cite_start]Filmes e Séries,Family Series [cite: 188]
[cite_start]Filmes e Séries,Movies [cite: 91]
[cite_start]Filmes e Séries,Prime Box Brazil [cite: 189]
[cite_start]Filmes e Séries,Film & Arts [cite: 191]
[cite_start]Filmes e Séries,AMC [cite: 191]
[cite_start]Filmes e Séries,ISTV [cite: 200]
[cite_start]Infantil,Kios [cite: 215]
[cite_start]Infantil,ID [cite: 216]
[cite_start]Infantil,Otaku [cite: 219]
[cite_start]Infantil,Lolly [cite: 219]
[cite_start]Infantil,Yupi [cite: 224]
[cite_start]Infantil,Hallo! [cite: 222]
[cite_start]Esportes,Fish TV [cite: 204]
[cite_start]Esportes,Unique [cite: 204]
[cite_start]Esportes,Cazé TV [cite: 205]
[cite_start]Esportes,Band Sports HD [cite: 206]
[cite_start]Agronegócio,Canal Rural [cite: 19]
[cite_start]Agronegócio,AgroBrasil [cite: 21]
[cite_start]Agronegócio,Terra Viva [cite: 22]
[cite_start]Agronegócio,AgroCanal [cite: 25]
[cite_start]Educativos,TV Cultura [cite: 194]
[cite_start]Educativos,Tvescala [cite: 195]
[cite_start]Educativos,RESERVADO UNIVERSITÁRIO [cite: 192]
[cite_start]Educativos,SescTV [cite: 193]
[cite_start]Étnicos,NHK [cite: 202]
